MAGDP2 Gross domestic product (GDP) by metropolitan area 1/,,,,,,,,,,,,,,,,,,
Gross domestic product (GDP) by metropolitan area: All industry total (Millions of current dollars) ,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",5514.1,5932.8,6426.3,7122.8,8060,8595.6,8777.1,9119.2,9241.7,9651.1,10494.6,10551.3,10413.2,10459.6,10700.2,10657.2,11026.8
17420,"Cleveland, TN (Metropolitan Statistical Area)",2678.9,2815.2,2824.1,3003.4,3031,3074.7,3072.5,3244.4,3199.6,3464.7,3471.7,3839.4,3911.7,4116,4292.9,4268.3,4343.1
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",86489.4,89270.3,93245,97959.9,101812,104511.7,109142.8,108822.3,103325.3,105545.2,109886.3,114671.2,118335.2,123856.2,128887.2,131727,138980
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",2782.9,2956.3,3089.7,3422.9,3857.6,4163.1,4445.8,4434.4,4309.3,4250.4,4437.7,4654.8,4844.6,5040.1,5400.2,5628.1,5931.2
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",4365.2,4500.8,4886.8,5266.5,5659.7,6066.5,6391.8,6841.7,7431.7,7765,7844.7,8259.9,8723.3,9308.8,9698,9727.2,10197.5
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",18813.7,19686.2,20256.4,21358.1,23010.9,23441.2,24279,24252.9,25381.2,26784.8,27721.4,28396.7,28790.5,28779.2,30077,31114.3,32683.1
17860,"Columbia, MO (Metropolitan Statistical Area)",4820.5,4997.2,5143.6,5387.1,5737.4,6036.8,6115.3,6363.6,6600.6,6915.1,7230.9,7596.3,8128.1,8340.2,8657.8,8992.3,9284.4
17900,"Columbia, SC (Metropolitan Statistical Area)",22043,23025.9,24416.4,26114.3,27355.4,29356.4,30868,31738.1,32184.3,31953.6,32673.6,33369.9,34761.7,36816.2,39312.3,40448.6,40884.4
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",8345.1,8699.8,9262.2,9597.8,9946.5,10324.4,10594,11033.9,11605.3,12146.9,12553.4,13047.4,13369.4,13492.4,13762.2,13474.4,13820.6
18020,"Columbus, IN (Metropolitan Statistical Area)",3006.8,2997.2,3089.7,3373.4,3545.2,3820.9,4131.5,4332.7,3937.4,4295,4511.2,4955.1,5168.6,5415.9,5731.3,5829,6043.8
18140,"Columbus, OH (Metropolitan Statistical Area)",71811.2,74932.6,78328.5,83693.2,87528.7,90731.4,93507.2,94090.9,91882.3,95188.3,101427.6,109267.9,113236.1,118390.5,126020.8,131382.2,136296.3
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",12249.2,12232,13593.4,15775.5,16752.7,17992.3,19684.2,20383.2,18210,19485.4,20818.1,22198.6,24253.9,24268.3,22812.6,21474.8,21547.3
18700,"Corvallis, OR (Metropolitan Statistical Area)",2768.2,3120.2,3461.6,4054.1,3956.6,4443.8,4577.4,5044.9,5280.8,5509.4,5375.4,4787,4413.5,4355.4,4316.3,4487.6,4668.4
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",7096.8,8422.8,9087.3,10893.2,11364.4,11612.3,12057,11048.1,10922.1,10756,11016.9,11989.9,11289.2,12297.8,13201.9,13652.1,14404.2
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",2219,2357.3,2411.6,2434.1,2523.6,2514.6,2454.9,2585.9,2797.3,2895,2945.8,2990.4,3000.9,3049.1,3120.1,3195.4,3285.9
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",261365.6,269330.8,273672.5,287848,310849.2,335925.7,352676.1,370166.8,347522.9,368480.4,392005.3,417064.9,448178.1,475929.3,491878.7,503666.7,535499.4
19140,"Dalton, GA (Metropolitan Statistical Area)",6471.2,6696,6519.5,5602.9,5694.1,5741.2,5768.7,5458.8,5112.5,4957.1,5113.1,5281.3,5489.8,5916.3,6209.5,6608.5,6668.1
19180,"Danville, IL (Metropolitan Statistical Area)",2005.1,2036.8,2209.9,2323.3,2340.4,2460.5,2426.7,2523.4,2557.2,2649,2804,2825.4,2867.6,2844.4,2842.2,2905,2904.4
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",3377.7,3670.9,3996.3,4424.6,5140.8,5452.2,5701.4,5540.7,5491.9,5400.6,5432.9,5755.1,6442.8,6719,6643.5,7008.3,7322.2
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",12405.1,12733.8,13420.9,14973.9,15726.1,16355.8,17059.4,17606.6,17472.2,17888.1,18743.6,19621.5,19031,19099,19160.9,19227.9,20020.3
19380,"Dayton, OH (Metropolitan Statistical Area)",29807.1,30919.7,31715.8,33476.1,34244.4,35250.6,35300.3,34615.5,32900.6,33387.8,34891.1,36116.9,36999.3,38409.1,39345.7,40235.6,41110.9
19460,"Decatur, AL (Metropolitan Statistical Area)",3789.7,3783.1,3934.5,4408.3,4464.7,4681.5,4836.5,4933,4846.8,5053,5036.2,5270.7,5365.5,5507,5174.7,5364.9,5466.4
19500,"Decatur, IL (Metropolitan Statistical Area)",4468.1,4386.5,4487.4,4594.9,4846.3,5050.2,5327.5,5632.3,5591.1,5609.3,5801.8,5832.7,5821.9,6156.9,6261.4,6269,6224.4
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",10153.8,11042.3,12185.2,12781,13466,14420.4,15067.9,14409.9,13679.4,13616.4,13426.4,14209.1,15144.7,15419.6,16176.8,16792.8,17199.4
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",109730.1,112862.8,116931,122147.4,133706.8,140106.6,145535.7,154163.8,149280.3,154621.5,159961.3,167491.2,173016.1,186345.1,192499.2,197068.3,208868
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",23675.9,26432.5,29240.3,32624.8,35478.6,35480.2,39053.8,35603.1,35146.3,36286.5,37998.8,41511.1,42304.1,45299.1,50852.6,54714.1,57151.5
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",188353.4,193789.4,201747.6,204645.4,212197,208880.8,211832.4,200919.3,185535.3,196966.4,206172.2,215613.6,220276.9,229348.3,242296.1,250430,260611.8
20020,"Dothan, AL (Metropolitan Statistical Area)",3457.2,3749.9,3831.3,4110.1,4354.3,4474.9,4550.8,4465.5,4459,4557.4,4589.2,4738.1,4819.2,4902.7,4986.9,5141.4,5295
20100,"Dover, DE (Metropolitan Statistical Area)",4124.8,4462.4,4726.7,5237.5,5484.1,5780.8,5937.6,5736.7,6366.8,5932,6091.6,6112.2,6314,6642.1,6917.9,7149.5,7337.2
20220,"Dubuque, IA (Metropolitan Statistical Area)",2932.1,3069.3,3206.8,3552.4,3745.1,3896.9,4102,4042.4,4042.4,4360.7,4525.4,5232.3,4979.4,5284.2,5656.3,5858.7,6093.5
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",7443.4,7936.2,8093.8,8534.5,8837.7,9179.9,9431.4,9942,9677.9,11343.7,12236,12113.7,12465.4,12912.8,11692,12890,13317.8
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",21745.7,23443.3,25111.4,26112.2,28093.7,33078,35457.6,37582.7,39175.1,40192.5,37677.3,37875.3,41803.1,43310.3,43666.6,42777.5,43474.4
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",3701.2,3959.5,4074.7,4308.3,4535.9,4879.1,5179.1,5457.7,5523.8,5637.7,5505.8,5462.7,5581.2,5551.9,5815.9,6047,6340
20740,"Eau Claire, WI (Metropolitan Statistical Area)",4357,4633.1,4856.3,5157.2,5626,5889.9,6140.7,6042.6,6166.6,6433.9,6654.8,7146.7,7194.1,7556.4,8076.9,8173.8,8535.7
20940,"El Centro, CA (Metropolitan Statistical Area)",3144.1,3609.9,3764.2,3878.6,4014.1,4400,4542.2,5147.2,5036.1,5201.1,5826.1,5611.4,5769.7,5563.2,5918.1,5923.3,6029.3
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",3435.2,3590.1,3902.3,4083.1,4251.6,4554.1,4518.9,4726,4864.2,5620.4,6100.7,6003.3,5951.3,6012.9,5851.3,6029,6275
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",7584.8,8317,9195.8,9768.9,10163.5,10539.4,10907,9418.9,7566.2,9771.7,9652.1,10916,11784,12991.9,14297.9,15351.3,17132.4
21300,"Elmira, NY (Metropolitan Statistical Area)",2272.8,2291.2,2351.9,2462.6,2637.7,2698.5,2783.9,2944.1,2945.9,3187.2,3283.5,3351.8,3357,3390.8,3411.4,3341.5,3388.2
21340,"El Paso, TX (Metropolitan Statistical Area)",18221.3,18554.1,16967.8,19186.7,20353.1,20836.7,21774.4,21132.6,22146.9,23943.7,25329.9,26479.1,26582.2,26725.3,27867.3,28358.7,29032.6
21420,"Enid, OK (Metropolitan Statistical Area)",1466.2,1524,1673.2,1752.8,1891.4,2076.2,2170.2,2326.7,2340.2,2519.4,2720.7,3006.1,3255.6,3478.7,3446,3180,3078
21500,"Erie, PA (Metropolitan Statistical Area)",7957.6,7923.1,8050.1,8874.1,9314.2,9404.7,9557,9871.2,9596.5,9805.3,10507.3,10467.2,10861.7,10879.5,11154.9,11082,11145.9
21660,"Eugene, OR (Metropolitan Statistical Area)",8937.8,9401.8,9757,10569.7,10860,11654.7,12344.1,12653.3,12036.1,11956.7,12635.4,12918.6,13289,13622.1,14696.3,15231.9,15801.5
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",11668.8,12260.4,12843.3,13411.5,13722.1,14451.2,14862.9,15682.2,15747.6,16661.1,17511.2,17219.7,17080.7,17059.4,17105.4,17382.6,18000.7
21820,"Fairbanks, AK (Metropolitan Statistical Area)",3577.8,3465.7,3794.1,4074.4,4374,4911.6,5220.9,5180.6,4910.9,5091.3,5365.3,5502,5178.5,5339.3,5323.2,5457.2,5554.2
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",6461.8,6868.1,7340.2,7958.7,8401.4,8938.1,9551.5,10090.6,10206.7,10595.7,11439.7,12730.6,13282.5,14354.8,14960.7,15733,16279.4
22140,"Farmington, NM (Metropolitan Statistical Area)",4066,3908.4,4444.1,5056.3,5844.6,6360.7,6730.5,7319.5,6450.2,6443.8,7438.5,7247.4,7076.6,7354.7,6298.8,5791.4,6360.1
22180,"Fayetteville, NC (Metropolitan Statistical Area)",9433.6,10205.2,10862.1,11447,12532.8,13304.9,14227.7,15084.8,16195.4,16860.1,17362.8,17268.3,17094.3,16867.4,16981.1,16998.6,17263.4
